iter	Logloss
0	0.6503403335
1	0.6183231342
2	0.5934155492
3	0.5711536499
4	0.5545598284
5	0.5409288225
6	0.5299946404
7	0.5208194069
8	0.5136041937
9	0.5078191954
10	0.5026846721
11	0.4979303287
12	0.4943899393
13	0.4908960362
14	0.4881486415
15	0.4851530652
16	0.4824799833
17	0.4806243589
18	0.4791023316
19	0.4770520551
20	0.475295068
21	0.473795711
22	0.4725631219
23	0.4713442612
24	0.4702608354
25	0.4693351818
26	0.4683541852
27	0.4676877496
28	0.4667580112
29	0.4661118528
30	0.4653192149
31	0.4646320795
32	0.4637809796
33	0.463274728
34	0.4625823484
35	0.4618986673
36	0.4612414969
37	0.4607860755
38	0.460348885
39	0.4597863293
40	0.4592397434
41	0.4588400543
42	0.4583903644
43	0.4578980698
44	0.4575179126
45	0.4571785889
46	0.4567516091
47	0.45647015
48	0.456180812
49	0.4559402703
50	0.4555475448
51	0.4552615826
52	0.4549513604
53	0.4546562273
54	0.4543989257
55	0.4539697546
56	0.4536083383
57	0.453315621
58	0.4530702621
59	0.4528870903
60	0.4526649599
61	0.4523836728
62	0.4522023286
63	0.4519753979
64	0.4516708359
65	0.451487923
66	0.4513228028
67	0.4511280095
68	0.4509675165
69	0.4507581547
70	0.4506427948
71	0.4504997714
72	0.450299116
73	0.4500995374
74	0.4499085491
75	0.4497627811
76	0.449608668
77	0.4494462271
78	0.4492362811
79	0.4490678516
80	0.4488818082
81	0.4487264688
82	0.4486019304
83	0.4484276433
84	0.4483006143
85	0.4481598435
86	0.4479929523
87	0.4478569122
88	0.4477413317
89	0.4475696739
90	0.4474349592
91	0.4473401024
92	0.4471837704
93	0.4469990772
94	0.4468944975
95	0.4467786636
96	0.4466547509
97	0.4464754727
98	0.4463629009
99	0.4462624492
100	0.4460599439
101	0.4459705408
102	0.4457673775
103	0.445662307
104	0.4455607846
105	0.4454569699
106	0.445353191
107	0.4451200187
108	0.4449614776
109	0.4448681724
110	0.4447339817
111	0.4445906483
112	0.4444781219
113	0.4443805503
114	0.4442588554
115	0.4441446594
116	0.4440613424
117	0.4439576252
118	0.4438797828
119	0.4437420229
120	0.4436449607
121	0.4435335624
122	0.4434526548
123	0.4433789681
124	0.443279393
125	0.4431954096
126	0.4430653073
127	0.4429293878
128	0.4428437301
129	0.4427665594
130	0.4426735991
131	0.4425844374
132	0.4424917684
133	0.4423957057
134	0.4423250018
135	0.4422390487
136	0.4421684163
137	0.4420825555
138	0.441994878
139	0.4419390516
140	0.4418237566
141	0.441744385
142	0.4416369798
143	0.4415578943
144	0.4414696353
145	0.4413494995
146	0.4412531511
147	0.4411523794
148	0.4410753273
149	0.4409612286
150	0.4408324463
151	0.440739848
152	0.4406148137
153	0.4405043832
154	0.4404235204
155	0.4403561117
156	0.4402130133
157	0.4401147235
158	0.440011235
159	0.4399166294
160	0.439826665
161	0.439727175
162	0.4396431574
163	0.4395447084
164	0.4394565727
165	0.4393708294
166	0.4392987934
167	0.439178681
168	0.4390908952
169	0.4390106077
170	0.4389548368
171	0.4388267276
172	0.4387200882
173	0.4386140574
174	0.4385133025
175	0.4384244091
176	0.4383276947
177	0.4382569695
178	0.4381453624
179	0.4380193816
180	0.4379342269
181	0.4378404858
182	0.4377492417
183	0.4376469181
184	0.4375639136
185	0.4374884455
186	0.4374221006
187	0.4373461833
188	0.4372583677
189	0.4371780983
190	0.4370951629
191	0.4369979437
192	0.4368930054
193	0.4368290102
194	0.4367561282
195	0.4366987088
196	0.4366090652
197	0.436521365
198	0.436430373
199	0.4363206031
200	0.4362415614
201	0.4361626681
202	0.4360845511
203	0.4359725674
204	0.4358933487
205	0.4358202095
206	0.4357495006
207	0.4356539913
208	0.4355578451
209	0.4354803725
210	0.4354043201
211	0.4353432667
